上证指数	sh000001
A股指数	sh000002
B股指数	sh000003
工业指数	sh000004
商业指数	sh000005
地产指数	sh000006
公用指数	sh000007
综合指数	sh000008
上证380	sh000009
上证180	sh000010
基金指数	sh000011
国债指数	sh000012
企债指数	sh000013
红利指数	sh000015
R003	sh201000
R007	sh201001
R014	sh201002
R028	sh201003
R091	sh201004
R182	sh201005
R001	sh201008
R002	sh201009
R004	sh201010
RC001	sh202001
RC003	sh202003
RC007	sh202007
0501R007	sh203007
0501R028	sh203008
0501R091	sh203009
0504R007	sh203016
0504R028	sh203017
0504R091	sh203018
0505R007	sh203019
0505R028	sh203020
0505R091	sh203021
0509R007	sh203031
0509R028	sh203032
0509R091	sh203033
0512R007	sh203040
0512R028	sh203041
0512R091	sh203042
0513R007	sh203043
0513R028	sh203044
0513R091	sh203045
0601R007	sh203049
0601R028	sh203050
0601R091	sh203051
0603R007	sh203052
0603R028	sh203053
0603R091	sh203054
GC001	sh204001
GC002	sh204002
GC003	sh204003
GC004	sh204004
GC007	sh204007
GC014	sh204014
GC028	sh204028
GC091	sh204091
GC182	sh204182
基金金泰	sh500001
基金泰和	sh500002
基金安信	sh500003
基金汉盛	sh500005
基金裕阳	sh500006
基金景阳	sh500007
基金兴华	sh500008
基金安顺	sh500009
基金金元	sh500010
基金金鑫	sh500011
基金安瑞	sh500013
基金汉兴	sh500015
基金裕元	sh500016
基金景业	sh500017
基金兴和	sh500018
基金普润	sh500019
基金金鼎	sh500021
基金汉鼎	sh500025
基金兴业	sh500028
基金科讯	sh500029
基金汉博	sh500035
基金通乾	sh500038
基金同德	sh500039
基金科瑞	sh500056
基金银丰	sh500058
国金鑫新	sh501000
财通精选	sh501001
能源互联	sh501002
长信优选	sh501003
精准医疗	sh501005
互联医疗	sh501007
互联医C	sh501008
生物科技	sh501009
生物科C	sh501010
中药基金	sh501011
中药C	sh501012
财通升级	sh501015
券商基金	sh501016
国泰融丰	sh501017
南方原油	sh501018
军工基金	sh501019
国企改	sh501020
香港中小	sh501021
银华鑫盛	sh501022
港中小企	sh501023
香港银行	sh501025
财通福享	sh501026
国泰融信	sh501027
财通福瑞	sh501028
红利基金	sh501029
环境治理	sh501030
环境C	sh501031
财通福盛	sh501032
创金睿选	sh501035
中证500A	sh501036
中证500C	sh501037
银华明择	sh501038
添富睿丰	sh501039
添富睿C	sh501040
沪深300A	sh501043
沪深300C	sh501045
财通福鑫	sh501046
全指证券	sh501047
证券C	sh501048
东证睿玺	sh501049
50AH	sh501050
圆信汇利	sh501051
东证目优	sh501053
东证睿泽	sh501054
新能源车	sh501057
新能车C	sh501058
国企红利	sh501059
金选300A	sh501060
金选300C	sh501061
南方瑞合	sh501062
添富悦享	sh501063
国泰价值	sh501064
经典成长	sh501065
东证恒元	sh501066
富时AH50	sh501067
AH50C	sh501068
质量基金	sh501069
广发睿阳	sh501070
红利增强	sh501072
科创中欧	sh501081
十年国开	sh501106
华夏配售	sh501186
添富配售	sh501188
嘉实配售	sh501189
美元债	sh501300
香港大盘	sh501301
恒生联接	sh501302
恒生中型	sh501303
港股高息	sh501305
港股高C	sh501306
